Datetime,Ticker,Open,High,Low,Close
2019-04-04,NIFTY BANK.NSE_IDX,30150.8,30245.7,29809.9,29937.75
2019-04-05,NIFTY BANK.NSE_IDX,30013.95,30174.0,29850.0,30130.5
2019-04-08,NIFTY BANK.NSE_IDX,30209.4,30232.05,29716.6,29846.35
2019-04-09,NIFTY BANK.NSE_IDX,29938.5,30165.05,29703.55,30143.5
2019-04-10,NIFTY BANK.NSE_IDX,29958.35,30155.75,29768.1,29788.85
2019-04-11,NIFTY BANK.NSE_IDX,29841.85,29852.25,29640.25,29774.45
2019-04-12,NIFTY BANK.NSE_IDX,29789.4,30000.95,29707.0,29868.65
2019-04-15,NIFTY BANK.NSE_IDX,29984.85,30163.1,29919.1,30088.85
2019-04-16,NIFTY BANK.NSE_IDX,30244.4,30590.95,30228.2,30561.8
2019-04-18,NIFTY BANK.NSE_IDX,30669.8,30669.8,30142.2,30191.5
2019-04-22,NIFTY BANK.NSE_IDX,30289.9,30289.9,29647.55,29656.3
2019-04-23,NIFTY BANK.NSE_IDX,29790.85,29906.5,29455.45,29501.45
2019-04-24,NIFTY BANK.NSE_IDX,29573.65,29914.85,29435.05,29854.7
2019-04-25,NIFTY BANK.NSE_IDX,29930.6,30057.7,29511.95,29567.75
2019-04-26,NIFTY BANK.NSE_IDX,29817.2,30048.2,29563.15,29980.8
2019-04-30,NIFTY BANK.NSE_IDX,29830.2,29920.4,29550.05,29729.45
2019-05-02,NIFTY BANK.NSE_IDX,29651.4,29919.35,29638.8,29689.9
2019-05-03,NIFTY BANK.NSE_IDX,29827.25,30121.75,29795.1,29937.2
2019-05-06,NIFTY BANK.NSE_IDX,29648.55,29757.4,29528.6,29616.55
2019-05-07,NIFTY BANK.NSE_IDX,29711.0,29835.5,29244.25,29273.2
2019-05-08,NIFTY BANK.NSE_IDX,29227.1,29261.3,28951.35,29011.4
2019-05-09,NIFTY BANK.NSE_IDX,28894.0,29040.3,28784.65,28871.3
2019-05-10,NIFTY BANK.NSE_IDX,28945.0,29202.85,28900.1,28975.85
2019-05-13,NIFTY BANK.NSE_IDX,29049.05,29049.05,28621.1,28690.95
2019-05-14,NIFTY BANK.NSE_IDX,28725.65,29058.3,28582.6,28878.6
2019-05-15,NIFTY BANK.NSE_IDX,28928.35,28983.15,28555.15,28566.85
2019-05-16,NIFTY BANK.NSE_IDX,28639.2,28947.6,28525.45,28890.75
2019-05-17,NIFTY BANK.NSE_IDX,28922.85,29559.45,28856.0,29521.15
2019-05-20,NIFTY BANK.NSE_IDX,30284.85,30827.85,30111.2,30766.9
2019-05-21,NIFTY BANK.NSE_IDX,30884.65,30926.7,30265.1,30330.1
2019-05-22,NIFTY BANK.NSE_IDX,30474.6,30675.1,30268.6,30583.75
2019-05-23,NIFTY BANK.NSE_IDX,31073.75,31705.0,30292.35,30517.75
2019-05-24,NIFTY BANK.NSE_IDX,30666.7,31275.4,30564.4,31216.0
2019-05-27,NIFTY BANK.NSE_IDX,31245.85,31700.75,31142.5,31617.95
2019-05-28,NIFTY BANK.NSE_IDX,31712.4,31712.4,31328.6,31660.7
2019-05-29,NIFTY BANK.NSE_IDX,31477.3,31546.75,31257.9,31302.1
2019-05-30,NIFTY BANK.NSE_IDX,31245.0,31619.25,31236.1,31571.75
2019-05-31,NIFTY BANK.NSE_IDX,31638.35,31783.6,30623.05,31350.85
2019-06-03,NIFTY BANK.NSE_IDX,31413.7,31674.6,31284.7,31650.8
2019-06-04,NIFTY BANK.NSE_IDX,31571.45,31752.7,31512.95,31621.9
2019-06-06,NIFTY BANK.NSE_IDX,31523.95,31541.5,30800.8,30895.8
2019-06-07,NIFTY BANK.NSE_IDX,30959.6,31139.6,30627.05,31072.6
2019-06-10,NIFTY BANK.NSE_IDX,31259.25,31367.4,30861.3,31062.45
2019-06-11,NIFTY BANK.NSE_IDX,31178.75,31399.35,30973.35,31266.85
2019-06-12,NIFTY BANK.NSE_IDX,31222.3,31222.3,30911.45,31016.3
2019-06-13,NIFTY BANK.NSE_IDX,30876.75,31036.9,30638.25,30992.4
2019-06-14,NIFTY BANK.NSE_IDX,30983.75,31032.65,30508.95,30587.1
2019-06-17,NIFTY BANK.NSE_IDX,30684.05,30684.05,30249.4,30305.95
2019-06-18,NIFTY BANK.NSE_IDX,30304.5,30550.65,30222.85,30359.45
2019-06-19,NIFTY BANK.NSE_IDX,30491.2,30699.15,30242.0,30432.75
2019-06-20,NIFTY BANK.NSE_IDX,30397.1,30824.55,30220.7,30788.65
